iter	RMSE
238	4.721105079
239	4.714971032
240	4.712737596
241	4.706819852
242	4.703895724
243	4.70114559
244	4.697130877
245	4.695815307
246	4.69347193
247	4.688750483
248	4.685009063
249	4.682153385
250	4.680535499
251	4.678310016
252	4.673382809
253	4.67235511
254	4.671024887
255	4.664019089
256	4.662921077
257	4.660053047
258	4.658141512
259	4.653126453
260	4.65079251
261	4.64665037
262	4.643988123
263	4.640457498
264	4.637003301
265	4.636009607
266	4.633060981
267	4.630361314
268	4.622687084
269	4.620643745
270	4.618575722
271	4.614868113
272	4.611238397
273	4.609779456
274	4.602532393
275	4.599415927
276	4.597578335
277	4.59648804
278	4.595125018
279	4.588276001
280	4.583977925
281	4.581884748
282	4.579187102
283	4.577473548
284	4.575442644
285	4.57150716
286	4.568840093
287	4.564489928
288	4.56204226
289	4.56020179
290	4.554148768
291	4.551551121
292	4.544993384
293	4.540366885
294	4.538345903
295	4.530632882
296	4.527613983
297	4.525946808
298	4.520974152
299	4.519579093
300	4.514176587
301	4.50932881
302	4.506372803
303	4.503925309
304	4.49922326
305	4.496185138
306	4.49485129
307	4.492123917
308	4.487802395
309	4.486383584
310	4.482349324
311	4.481031332
312	4.480309887
313	4.477343349
314	4.473394872
315	4.471546827
316	4.470087274
317	4.463813273
318	4.461963647
319	4.457739184
320	4.451303328
321	4.445855528
322	4.442493078
323	4.439816869
324	4.436791108
325	4.434859076
326	4.431536174
327	4.42702487
328	4.425741377
329	4.420544224
330	4.41860596
331	4.415211414
332	4.411173497
333	4.409221743
334	4.406492808
335	4.403122762
336	4.399781146
337	4.398697327
338	4.39794538
339	4.3944255
340	4.392266307
341	4.38763524
342	4.382491961
343	4.380846292
344	4.380467235
345	4.377888919
346	4.374844751
347	4.369797556
348	4.366645161
349	4.363798281
350	4.361542509
351	4.360594855
352	4.356101031
353	4.353096372
354	4.350061562
355	4.348276231
356	4.345068505
357	4.342515849
358	4.338432542
359	4.332670807
360	4.326734595
361	4.321900778
362	4.320664966
363	4.319873586
364	4.316282187
365	4.313352819
366	4.309068218
367	4.304904548
368	4.303786024
369	4.301200646
370	4.29810882
371	4.295660968
372	4.288773853
373	4.286881156
374	4.284472022
375	4.281424255
376	4.278363011
377	4.276674346
378	4.274765921
379	4.27019776
380	4.267691101
381	4.262257137
382	4.259367588
383	4.254142883
384	4.249761193
385	4.246873929
386	4.243592267
387	4.242952377
388	4.236954991
389	4.234689562
390	4.23052867
391	4.229574762
392	4.226142466
393	4.223037934
394	4.218517302
395	4.215959144
396	4.215333945
397	4.212581006
398	4.210782802
399	4.207585997
400	4.202901127
401	4.19977198
402	4.198343323
403	4.197506646
404	4.195733031
405	4.189979409
406	4.18604867
407	4.182568275
408	4.17767699
409	4.177218136
410	4.174456658
411	4.17282077
412	4.167829402
413	4.16507577
414	4.163078525
415	4.15939379
416	4.156269069
417	4.153844702
418	4.15060821
419	4.150127918
420	4.147098984
421	4.142551515
422	4.141154626
423	4.14038079
424	4.135431721
425	4.130152843
426	4.128427723
427	4.126557315
428	4.124889377
429	4.124429189
430	4.122015433
431	4.118963857
432	4.117721303
433	4.112556345
434	4.11209673
435	4.108923978
436	4.106052466
437	4.105580795
438	4.105128081
439	4.10275838
440	4.099476945
441	4.096991478
442	4.093228603
443	4.090960124
444	4.090329779
445	4.088448493
446	4.086988922
447	4.084173106
448	4.081176464
449	4.076587417
450	4.073851632
451	4.072985037
452	4.070244131
453	4.069907742
454	4.066264494
455	4.063520207
456	4.063068793
457	4.060944266
458	4.059691178
459	4.056764492
460	4.052030331
461	4.049982907
462	4.047709311
463	4.045635714
464	4.043621982
465	4.043240134
466	4.042448913
467	4.038061508
468	4.037436416
469	4.035492933
470	4.034748157
471	4.030109803
472	4.027794872
473	4.025188841
474	4.020805149
475	4.020098059
476	4.017099922
477	4.015616967
478	4.015213224
479	4.011081011
480	4.009396967
481	4.008954408
482	4.005560915
483	4.003958375
484	4.000391112
485	3.997113836
486	3.996375007
487	3.992966601
488	3.990539829
489	3.988851888
490	3.98697207
491	3.984417593
492	3.983991018
493	3.983027112
494	3.980537073
495	3.979553486
496	3.979246828
497	3.975238876
498	3.973433117
499	3.972204948
500	3.969746055
501	3.969304262
502	3.968362649
503	3.966529
504	3.963632366
505	3.96032329
506	3.957514288
507	3.954730561
508	3.951381177
509	3.949756186
510	3.946150805
511	3.945582288
512	3.944601952
513	3.944194732
514	3.941575917
515	3.937334438
516	3.93562755
517	3.934727783
518	3.930566287
519	3.926803291
520	3.924278769
521	3.921755451
522	3.918339483
523	3.913946208
524	3.911520096
525	3.909552703
526	3.907591388
527	3.905441755
528	3.905020287
529	3.902311014
530	3.900265614
531	3.899653825
532	3.899283313
533	3.896450022
534	3.893524467
535	3.891397523
536	3.889537758
537	3.88766856
538	3.886592471
539	3.882611825
540	3.882057456
541	3.880238236
542	3.877771109
543	3.875774741
544	3.87494882
545	3.873203834
546	3.869671096
547	3.869289231
548	3.864905604
549	3.864082463
550	3.858423451
551	3.855168058
552	3.851464237
553	3.849673263
554	3.849270311
555	3.848791962
556	3.848284038
557	3.847844392
558	3.845751545
559	3.843033818
560	3.84061291
561	3.837923794
562	3.83704045
563	3.836880149
564	3.835150179
565	3.832471541
566	3.830025293
567	3.82705155
568	3.824842334
569	3.823518912
570	3.82026769
571	3.81943545
572	3.814981661
573	3.812849263
574	3.808692649
575	3.807962887
576	3.806727784
577	3.805039745
578	3.804433313
579	3.803023312
580	3.800794432
581	3.798911849
582	3.796914353
583	3.794536975
584	3.792460865
585	3.791020339
586	3.787538611
587	3.785173961
588	3.780723301
589	3.779912692
590	3.775367268
591	3.77112325
592	3.769923538
593	3.767328532
594	3.766891738
595	3.764657934
596	3.761761526
597	3.758943449
598	3.758276335
599	3.756618372
600	3.754386966
601	3.750449622
602	3.748449279
603	3.745770828
604	3.741777699
605	3.741479411
606	3.739602281
607	3.738823097
608	3.738089454
609	3.737815626
610	3.734810194
611	3.731613168
612	3.729843519
613	3.728412645
614	3.728184018
615	3.726853031
616	3.724219778
617	3.723395105
618	3.720579652
619	3.718484316
620	3.714978616
621	3.710328193
622	3.710047608
623	3.707863046
624	3.705479285
625	3.703992608
626	3.700986333
627	3.700742782
628	3.698604216
629	3.697517552
630	3.694320723
631	3.692075488
632	3.689336575
633	3.687597381
634	3.68464068
635	3.681077053
636	3.679788216
637	3.678086338
638	3.676123102
639	3.675657391
640	3.67532561
641	3.672590296
642	3.668991259
643	3.665707584
644	3.665109976
645	3.6626223
646	3.662337007
647	3.65844953
648	3.655450552
649	3.655045009
650	3.65298961
651	3.651036775
652	3.650053156
653	3.646376915
654	3.645869724
655	3.645316206
656	3.643924403
657	3.643284731
658	3.640125423
659	3.63716802
660	3.636056105
661	3.635432872
662	3.635118733
663	3.633011957
664	3.631283195
665	3.63094109
666	3.629736592
667	3.62881643
668	3.627338645
669	3.62493169
670	3.622252658
671	3.618574289
672	3.618315269
673	3.615862609
674	3.613446643
675	3.61104044
676	3.610086473
677	3.60819477
678	3.604752017
679	3.603818269
680	3.601264966
681	3.598265655
682	3.595488247
683	3.593680837
684	3.592288934
685	3.591746881
686	3.58903152
687	3.58782425
688	3.585235653
689	3.584626892
690	3.582779914
691	3.580557504
692	3.577778458
693	3.577396485
694	3.576827712
695	3.571626258
696	3.571311738
697	3.568868802
698	3.565621967
699	3.564172756
700	3.561714734
701	3.560933811
702	3.558398503
703	3.557317803
704	3.555460508
705	3.550508854
706	3.549466898
707	3.547582489
708	3.546856966
709	3.543133451
710	3.5408302
711	3.537098112
712	3.536748997
713	3.533876185
714	3.531173189
715	3.530954441
716	3.529840323
717	3.526309518
718	3.525252897
719	3.523562317
720	3.522029588
721	3.520111912
722	3.518796467
723	3.516704599
724	3.513974745
725	3.511425068
726	3.508924523
727	3.506867658
728	3.505649606
729	3.501437031
730	3.499638392
731	3.497457453
732	3.497000624
733	3.4947357
734	3.494274935
735	3.49123572
736	3.488405811
737	3.488139023
738	3.485757606
739	3.484896258
740	3.481486141
741	3.478897711
742	3.478488325
743	3.475413547
744	3.474456629
745	3.47391488
746	3.472163401
747	3.471530733
748	3.469846888
749	3.467495243
750	3.465413789
751	3.46381622
752	3.462736725
753	3.461090509
754	3.459967343
755	3.458355119
756	3.456087975
757	3.454726878
758	3.452914072
759	3.450936977
760	3.449046677
761	3.448021231
762	3.446902419
763	3.445262947
764	3.442281775
765	3.438789663
766	3.437445371
767	3.436256928
768	3.432681851
769	3.431749454
770	3.430163959
771	3.426944847
772	3.423058736
773	3.419369013
774	3.418596414
775	3.417452943
776	3.415228913
777	3.414963432
778	3.414763061
779	3.411935105
780	3.408583342
781	3.407433595
782	3.407270252
783	3.405964146
784	3.404086436
785	3.403749832
786	3.400570874
787	3.398524547
788	3.396804375
789	3.396674851
790	3.394664125
791	3.394105124
792	3.391221342
793	3.389475878
794	3.386867079
795	3.384545804
796	3.38154206
797	3.381209506
798	3.379588469
799	3.378991438
800	3.377336451
801	3.377085927
802	3.375569004
803	3.372373389
804	3.370744358
805	3.369897073
806	3.369515554
807	3.369302149
808	3.369002475
809	3.36671992
810	3.365165771
811	3.363678497
812	3.362601565
813	3.362339026
814	3.360514238
815	3.359047485
816	3.358703565
817	3.357718428
818	3.357530482
819	3.355349563
820	3.354489522
821	3.352547436
822	3.350553589
823	3.348076858
824	3.346535939
825	3.346356017
826	3.345289795
827	3.344068879
828	3.341353897
829	3.339449453
830	3.339216603
831	3.338082647
832	3.336436814
833	3.334212852
834	3.330855573
835	3.329002169
836	3.328347622
837	3.328050474
838	3.326507456
839	3.326275966
840	3.325900917
841	3.323006295
842	3.322569862
843	3.321156787
844	3.321018555
845	3.319127631
846	3.316821039
847	3.314247093
848	3.313945387
849	3.312809965
850	3.309623395
851	3.308237704
852	3.306256725
853	3.30490506
854	3.303516121
855	3.301094585
856	3.299440958
857	3.295597712
858	3.294212686
859	3.294020238
860	3.292812164
861	3.291164471
862	3.289830849
863	3.289437452
864	3.287917511
865	3.285594262
866	3.283885973
867	3.28297933
868	3.281652741
869	3.280021156
870	3.279103818
871	3.278198991
872	3.277263419
873	3.275765564
874	3.274924667
875	3.272973965
876	3.272665733
877	3.270864979
878	3.268928609
879	3.265466764
880	3.26392974
881	3.262663422
882	3.262494912
883	3.261816209
884	3.258689165
885	3.256962605
886	3.256781694
887	3.256558914
888	3.255150835
889	3.253366821
890	3.252734191
891	3.251070467
892	3.249931994
893	3.248609583
894	3.247166445
895	3.244293161
896	3.242544664
897	3.24172012
898	3.240525218
899	3.240194333
900	3.238922496
901	3.23699897
902	3.234344788
903	3.232743893
904	3.231773143
905	3.23146005
906	3.229124767
907	3.227039419
908	3.226069302
909	3.225732121
910	3.225033458
911	3.223981962
912	3.221136076
913	3.218145958
914	3.21798608
915	3.217840688
916	3.217730324
917	3.217191767
918	3.214410578
919	3.212061692
920	3.209649995
921	3.207513108
922	3.206133648
923	3.204304784
924	3.202423984
925	3.200957686
926	3.197706199
927	3.19591631
928	3.194852801
929	3.193260388
930	3.191747484
931	3.189590705
932	3.188273086
933	3.185448273
934	3.184398784
935	3.183413812
936	3.181333971
937	3.179733039
938	3.178592716
939	3.177429228
940	3.175387069
941	3.174736063
942	3.17294781
943	3.171043261
944	3.170747468
945	3.169625418
946	3.167307066
947	3.165519232
948	3.164558554
949	3.163174054
950	3.161500424
951	3.161090689
952	3.157753393
953	3.157110204
954	3.155931293
955	3.153543105
956	3.151983112
957	3.150536852
958	3.147543797
959	3.14554694
960	3.144020782
961	3.142171085
962	3.140186609
963	3.138445549
964	3.137180211
965	3.134938133
966	3.132439301
967	3.129889953
968	3.129218555
969	3.128167952
970	3.12643299
971	3.124520733
972	3.121908823
973	3.121345645
974	3.121108987
975	3.11865009
976	3.118306774
977	3.11514451
978	3.113793898
979	3.112045402
980	3.111058667
981	3.108986756
982	3.107681335
983	3.106484374
984	3.105279426
985	3.104147453
986	3.102702424
987	3.101992422
988	3.100515363
989	3.098637876
990	3.097892465
991	3.097178797
992	3.09442626
993	3.092550228
994	3.089730681
995	3.088874683
996	3.086685103
997	3.08513739
998	3.085011779
999	3.084160968
